epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
29,1533.7,0.38479,0.51916,0.32316,0.83589,0,0.94172,0.89474,0.95022,0.89314,0.96561,0.91579,0.96042,0.90678,0.34192,0.52308,0.32318,0.8022,0,0.0014456,0.0014456,0.0014456
30,1587.13,0.39005,0.5178,0.32379,0.82883,0,1,0.87253,0.94399,0.88425,0.96622,0.90336,0.95321,0.89636,0.37066,0.46132,0.34415,0.7997,0,0.0014258,0.0014258,0.0014258
31,1645.96,0.36081,0.49288,0.30669,0.81902,0,0.96517,0.87518,0.95189,0.88757,0.98849,0.90432,0.95887,0.89114,0.32742,0.46451,0.31736,0.79937,0,0.001406,0.001406,0.001406
32,1702.28,0.36609,0.48703,0.31008,0.82075,0,1,0.87027,0.94526,0.88497,0.98838,0.89512,0.95672,0.89959,0.38165,0.49447,0.33033,0.80663,0,0.0013862,0.0013862,0.0013862
33,1758.65,0.38573,0.4852,0.32369,0.83553,0,0.996,0.85263,0.94796,0.88852,0.97998,0.90526,0.9625,0.91109,0.37691,0.49363,0.31559,0.80497,0,0.0013664,0.0013664,0.0013664
34,1819.54,0.35372,0.47404,0.29857,0.82105,0,0.97627,0.8661,0.95194,0.88377,0.98321,0.90526,0.96023,0.90718,0.33199,0.47782,0.32284,0.79896,0,0.0013466,0.0013466,0.0013466
35,1856.19,0.35935,0.46873,0.3042,0.81561,0,0.99746,0.86316,0.95555,0.881,0.9762,0.90526,0.96126,0.89238,0.34684,0.50306,0.31677,0.80304,0,0.0013268,0.0013268,0.0013268
36,1877.81,0.34885,0.46122,0.29924,0.82615,0,0.99587,0.86316,0.95314,0.88862,0.97648,0.90526,0.95963,0.89714,0.33336,0.51545,0.31127,0.80933,0,0.001307,0.001307,0.001307
37,1899.67,0.36198,0.49,0.2951,0.82321,0,1,0.87061,0.9539,0.8884,0.95593,0.9134,0.9581,0.89369,0.37469,0.51511,0.31033,0.8029,0,0.0012872,0.0012872,0.0012872
38,1921.83,0.36741,0.52756,0.30636,0.83187,0,0.99083,0.86316,0.94624,0.88728,0.97697,0.89327,0.94742,0.88397,0.32009,0.57514,0.30707,0.79548,0,0.0012674,0.0012674,0.0012674
39,1943.33,0.36145,0.49289,0.30016,0.81886,0,0.97433,0.89474,0.95597,0.89694,0.9641,0.91579,0.95521,0.88761,0.28575,0.53081,0.28518,0.79753,0,0.0012476,0.0012476,0.0012476
40,1964.72,0.36106,0.49791,0.29116,0.8239,0,0.96455,0.90526,0.9465,0.89432,0.97577,0.91579,0.94842,0.88142,0.31936,0.50373,0.29267,0.8027,0,0.0012278,0.0012278,0.0012278
41,1986.92,0.33649,0.4124,0.27848,0.81444,0,0.98807,0.87215,0.93042,0.8863,0.96108,0.91579,0.94976,0.88321,0.33125,0.52417,0.31826,0.8002,0,0.001208,0.001208,0.001208
42,2008.78,0.33019,0.43705,0.2779,0.81324,0,0.9956,0.87368,0.9619,0.90285,0.97702,0.89508,0.96311,0.8982,0.30367,0.54402,0.29367,0.78642,0,0.0011882,0.0011882,0.0011882
43,2039.15,0.34874,0.47582,0.29268,0.82469,0,0.97683,0.8876,0.94433,0.90147,0.98846,0.90183,0.96011,0.89608,0.34237,0.47392,0.31431,0.80303,0,0.0011684,0.0011684,0.0011684
44,2070.77,0.33686,0.43544,0.28137,0.81575,0,0.9921,0.86316,0.95265,0.89903,0.9848,0.90526,0.96405,0.89457,0.30435,0.48265,0.31639,0.79069,0,0.0011486,0.0011486,0.0011486
45,2098.76,0.34973,0.46625,0.2812,0.81823,0,0.99121,0.86316,0.94674,0.89935,0.96532,0.90526,0.96327,0.90866,0.31403,0.52859,0.33189,0.78901,0,0.0011288,0.0011288,0.0011288
46,2127.7,0.33272,0.42042,0.26809,0.80901,0,0.99559,0.87368,0.94268,0.88933,0.98846,0.90175,0.95333,0.89347,0.31848,0.52787,0.30971,0.79667,0,0.001109,0.001109,0.001109
47,2153.9,0.32982,0.46955,0.27381,0.82154,0,1,0.87168,0.94858,0.90257,0.97853,0.89474,0.95593,0.90341,0.28874,0.48912,0.2913,0.7857,0,0.0010892,0.0010892,0.0010892
48,2180.96,0.34027,0.41323,0.27992,0.8158,0,0.98199,0.89474,0.96333,0.91434,0.98501,0.90526,0.96584,0.90605,0.28019,0.48051,0.27662,0.78693,0,0.0010694,0.0010694,0.0010694
49,2208.03,0.34367,0.41639,0.28315,0.80775,0,0.97594,0.89474,0.95962,0.89153,0.98432,0.90526,0.95398,0.89055,0.33622,0.52476,0.28889,0.79944,0,0.0010496,0.0010496,0.0010496
50,2233.16,0.34084,0.47512,0.28119,0.82297,0,0.98821,0.88267,0.94758,0.89635,0.97748,0.91399,0.95934,0.89903,0.28306,0.50582,0.26406,0.78818,0,0.0010298,0.0010298,0.0010298
51,2257.82,0.32943,0.4418,0.2655,0.81047,0,0.98315,0.88421,0.94091,0.89578,0.98847,0.90276,0.95208,0.89089,0.27989,0.53159,0.29636,0.78147,0,0.00101,0.00101,0.00101
52,2285,0.30935,0.44257,0.26147,0.81666,0,0.97658,0.88421,0.94801,0.89832,0.96738,0.93665,0.96471,0.8955,0.32114,0.53084,0.28745,0.79928,0,0.0009902,0.0009902,0.0009902
53,2310.71,0.32088,0.42198,0.26566,0.80396,0,0.98819,0.8806,0.95337,0.90249,0.96982,0.90526,0.95502,0.89872,0.29568,0.47959,0.27294,0.78771,0,0.0009704,0.0009704,0.0009704
54,2337.65,0.31738,0.44291,0.26325,0.81262,0,0.98174,0.88421,0.9312,0.88509,0.98422,0.89474,0.9436,0.8886,0.34317,0.4964,0.32413,0.80389,0,0.0009506,0.0009506,0.0009506
55,2363.37,0.31069,0.42103,0.26243,0.81096,0,1,0.87179,0.94014,0.8984,0.97483,0.91579,0.94892,0.89901,0.32653,0.50245,0.30976,0.79754,0,0.0009308,0.0009308,0.0009308
56,2391.15,0.31082,0.41164,0.26183,0.80061,0,0.97696,0.89258,0.95638,0.89347,0.98848,0.9031,0.95748,0.88866,0.29834,0.49943,0.31068,0.7947,0,0.000911,0.000911,0.000911
57,2417.87,0.30593,0.4246,0.25808,0.80784,0,0.97641,0.87135,0.95035,0.90371,0.97726,0.90492,0.95844,0.88795,0.29365,0.5511,0.29365,0.80201,0,0.0008912,0.0008912,0.0008912
58,2444.33,0.29101,0.40737,0.25256,0.80653,0,0.99563,0.86316,0.95811,0.91335,0.97535,0.90526,0.95872,0.89895,0.30226,0.48981,0.27212,0.79277,0,0.0008714,0.0008714,0.0008714
59,2471.97,0.30469,0.38687,0.25607,0.80909,0,0.97638,0.87022,0.94028,0.8985,0.97432,0.90526,0.94792,0.8969,0.28734,0.57599,0.29727,0.79432,0,0.0008516,0.0008516,0.0008516
60,2498.65,0.29426,0.37975,0.25166,0.80468,0,0.96333,0.88421,0.94888,0.90476,0.95331,0.91579,0.95584,0.88182,0.28142,0.52456,0.26614,0.79197,0,0.0008318,0.0008318,0.0008318
61,2523.14,0.29229,0.38984,0.24564,0.79934,0,0.99355,0.86316,0.95462,0.90246,0.96436,0.91579,0.96132,0.89945,0.30768,0.52894,0.2679,0.79514,0,0.000812,0.000812,0.000812
62,2550.77,0.29107,0.45567,0.24682,0.80669,0,0.95488,0.89117,0.94699,0.90345,0.96396,0.91579,0.9552,0.89918,0.28681,0.51991,0.29267,0.79408,0,0.0007922,0.0007922,0.0007922
63,2576.19,0.29512,0.42816,0.24166,0.80529,0,0.97623,0.86477,0.94261,0.89912,0.9867,0.89474,0.94389,0.8991,0.27098,0.47753,0.29025,0.78796,0,0.0007724,0.0007724,0.0007724
64,2600.92,0.28635,0.3963,0.23563,0.79775,0,0.98864,0.86316,0.94906,0.90212,0.97581,0.90526,0.94993,0.89208,0.2903,0.50277,0.30428,0.79595,0,0.0007526,0.0007526,0.0007526
65,2626.27,0.28778,0.39174,0.2441,0.80235,0,0.93594,0.92277,0.95632,0.90411,0.96632,0.90602,0.96368,0.90556,0.29482,0.4888,0.30318,0.79639,0,0.0007328,0.0007328,0.0007328
66,2651.33,0.28719,0.42324,0.24343,0.805,0,0.9941,0.86316,0.94575,0.90079,0.97539,0.90526,0.95519,0.89445,0.28866,0.50903,0.30221,0.79505,0,0.000713,0.000713,0.000713
67,2675.5,0.27928,0.40476,0.23848,0.81019,0,0.98038,0.87368,0.94361,0.90799,0.96599,0.89686,0.95769,0.89328,0.26802,0.50805,0.27529,0.78837,0,0.0006932,0.0006932,0.0006932
68,2699.28,0.27818,0.3955,0.23484,0.79697,0,0.94885,0.89474,0.93919,0.899,0.96448,0.91579,0.94913,0.88952,0.28895,0.48642,0.28285,0.7946,0,0.0006734,0.0006734,0.0006734
